ADLER,ANGEL,DOCTOR,DORAN,HOLMES,LESTRADE,MCCARTHY,RYDER,SIMON,STONER,TURNER,WATSON,WILSON
0.5367414824272563,0.4857936860827034,0.4821678282386732,0.503917504040475,0.5051121269078629,0.4261507242266708,0.5003888123117348,0.48232585139318884,0.5080047880576507,0.5244707076566126,0.5327768426383841,0.5052743938414286,0.4979675530187409
0.5166970465694509,0.5112593251321574,0.4745902284112796,0.5044981489631605,0.5131962378447313,0.4410721505670985,0.4957209590890843,0.49123645510835917,0.5084951313110389,0.5255542665635473,0.5394986742537091,0.5056407909449732,0.5030598144370599
0.4661796082252536,0.5162837804456302,0.49189132091076837,0.5052489191498175,0.5086902524292001,0.423573439209607,0.48020917260178597,0.5117627708978328,0.5048804886650733,0.5236348769012632,0.5362308586069237,0.5085031835471232,0.5167339903673689
0.44729856864458034,0.5158341979151227,0.518153561242676,0.4988202182781104,0.4923007796425434,0.43564548055347435,0.4952100288310646,0.5120994582043343,0.5022268663526197,0.48771228087135865,0.489788774355002,0.5036330665732494,0.49893336333359517
0.4708394933136214,0.5158589002519639,0.5060634732988271,0.4801702362152307,0.47830072774051957,0.4326178892323139,0.5017875540757918,0.5270356037151702,0.5154582677247942,0.46210162090745044,0.4572186140737652,0.4966635775121695,0.49428898318216463
0.4998509004771184,0.4834617854849069,0.4963777382720933,0.47989470725510286,0.4857967146018929,0.43955452251244087,0.5105800462083079,0.5258688080495356,0.5157047504297059,0.4759804395462748,0.4623409849252219,0.498883079797259,0.4846223893934924
0.49577691351387676,0.4871473741415938,0.48001294547840956,0.4870889718146818,0.4980488546335532,0.5009801347852998,0.5032326164401636,0.5173374613003096,0.5035838323078516,0.47284859177623095,0.462949859977358,0.5145310068635032,0.46807200911894753
0.4676370035615885,0.4820068178449681,0.48608338596179745,0.5246552189623099,0.5052070334656835,0.5315664719171742,0.4896578732387644,0.5099671052631578,0.5198792234745933,0.47541851959267856,0.45794479532860627,0.5142878400919809,0.49388143245589644
0.47248588804515823,0.5227212094264118,0.4921713567805315,0.5288787635591685,0.5011084047912983,0.5125041437760962,0.4910671424119838,0.535296052631579,0.5143058299715102,0.500088618200567,0.4551164124411607,0.5079269461140496,0.471563784872651
0.5009197970566495,0.5426337631539944,0.48937054858712237,0.5158244233308307,0.5043795669146842,0.4697940279803091,0.48979543138515436,0.5355785603715171,0.5084426881823343,0.5375056393400361,0.4817411964487875,0.4974822066832304,0.4480107491504053
