Angel,Holmes,McCarthy
0.5844303797468354,0.5131906702898551,0.4920670318205529
0.5634651898734176,0.5182857789855073,0.4728702073552425
0.5400344710669078,0.5262907608695653,0.5067555099113198
0.5200926763110307,0.5301970108695653,0.5121004499217527
0.5854560352622062,0.5102072010869565,0.4745750195618153
0.487003842676311,0.5043308423913044,0.4828369522691706
0.5003051537070524,0.5025418931159421,0.5418107720396452
0.4510510849909585,0.5530627264492753,0.5742255151278037
0.49683544303797467,0.5375169836956523,0.5318507107459572
0.5629080018083183,0.4886435688405797,0.4589501825769431
0.5638019891500904,0.5325181159420289,0.35806403234220135
0.5341421790235081,0.5260303442028986,0.5569494979134063
0.555113019891501,0.5082540760869565,0.5805444705268649
0.5049118444846293,0.4888190670289855,0.5801591027647366
0.5337861663652803,0.5105298913043478,0.5290902125717266
0.54063178119349,0.5402230525362319,0.5248840962441315
0.5344682414104882,0.5468976449275361,0.5550656950965049
0.5685770795660036,0.4805197010869565,0.5288838354199269
0.5636759719710669,0.43397305253623186,0.4652988067292645
0.5855396699819169,0.4242583786231885,0.5169922078768909
0.5818507007233273,0.5356600996376811,0.5627878847157016
0.45400938065099455,0.5259567481884058,0.5696253912363067
0.4713076401446655,0.5259793931159421,0.5483395279081898
0.5443603074141048,0.5657099184782608,0.5369346635367761
0.5447038878842676,0.5523947010869565,0.5673875195618153
0.4512731690777576,0.49162703804347824,0.5638652516953574
0.4439251808318264,0.5081691576086957,0.5005263758476787
0.5083493444846293,0.4885190217391305,0.5529474765258217
0.5145959538878843,0.5642889492753623,0.5457436750130412
0.5603051537070524,0.531833106884058,0.4852513693270735
0.513486663652803,0.5374490489130436,0.4985327008346374
0.5645592224231465,0.5421591938405798,0.5224204486176316
0.6253509267631104,0.5862828351449275,0.5701079160146062
0.5565105108499095,0.551069972826087,0.5580182250912884
0.5031628616636528,0.42833446557971017,0.5156352699530516
0.4460318716094033,0.46960484601449276,0.5179714397496088
0.5543789556962025,0.5004642210144928,0.5030200182576943
0.5755413652802893,0.5424196105072463,0.5186145344287951
0.5644529837251356,0.5442595108695653,0.5325896583202921
0.5154989828209764,0.5150588768115943,0.5000612936880543
0.519567698915009,0.4354846014492753,0.4814073095983307
0.5718032323688969,0.5056046195652174,0.5182801904016692
0.5537471745027125,0.572067481884058,0.5777802230046948
0.4628639240506329,0.5807008605072463,0.5683770213875847
