Doran,Stoner,Sutherland
0.46154761904761904,0.555952380952381,0.47797619047619044
0.44000000000000006,0.4005952380952381,0.4752976190476191
0.4714285714285714,0.4390873015873016,0.36636904761904754
0.5954761904761905,0.5621031746031745,0.31994047619047616
0.5658333333333333,0.5523809523809524,0.4866071428571428
0.4753571428571429,0.3640873015873016,0.5485119047619047
0.4109523809523809,0.3261904761904762,0.4991071428571428
0.4671428571428572,0.4458333333333333,0.4363095238095238
0.3825,0.5603174603174603,0.35714285714285715
0.4507142857142858,0.5376984126984128,0.5229166666666667
0.5453571428571429,0.4984126984126984,0.4595238095238095
0.4113095238095238,0.4845238095238096,0.36279761904761904
0.5496428571428571,0.4698412698412698,0.38392857142857145
0.4359523809523809,0.3873015873015873,0.5214285714285715
0.45583333333333337,0.4767857142857143,0.5845238095238097
0.4430952380952381,0.39940476190476193,0.6288690476190476
0.6120238095238095,0.4283730158730159,0.6330357142857143
0.5566666666666666,0.6057539682539682,0.4630952380952381
0.5383333333333333,0.6478174603174602,0.5839285714285716
0.44321428571428567,0.5708333333333334,0.5166666666666666
0.4175,0.5269841269841271,0.5407738095238096
0.4471428571428572,0.5097222222222222,0.4616071428571429
0.4984523809523809,0.5363095238095238,0.5678571428571428
0.4585714285714285,0.5664682539682541,0.5494047619047618
0.4279761904761904,0.45357142857142857,0.42232142857142857
0.5139285714285714,0.40535714285714286,0.5050595238095238
0.5589285714285714,0.4313492063492063,0.6395833333333333
0.5885714285714285,0.3928571428571428,0.6297619047619047
0.4621428571428572,0.3875,0.5604166666666668
0.4905952380952381,0.4734126984126984,0.6282738095238095
0.5251190476190476,0.2680555555555556,0.6273809523809524
0.4640476190476191,0.4287698412698413,0.5785714285714286
0.4396428571428571,0.43313492063492065,0.5898809523809524
0.5005952380952381,0.6178571428571429,0.5005952380952381
0.47750000000000004,0.632936507936508,0.45267857142857143
0.39642857142857146,0.45892857142857146,0.45148809523809524
0.47392857142857137,0.44841269841269843,0.45178571428571423
0.48011904761904767,0.5301587301587302,0.519047619047619
0.6147619047619048,0.4837301587301587,0.4809523809523809
0.6908333333333334,0.5234126984126983,0.47351190476190474
0.6709523809523809,0.6303571428571428,0.5327380952380952
0.48857142857142855,0.5382936507936509,0.4770833333333334
0.35023809523809524,0.3815476190476191,0.4089285714285714
0.47321428571428575,0.4575396825396825,0.5035714285714286
0.6095238095238096,0.47559523809523807,0.5053571428571428
0.6036904761904761,0.4138888888888889,0.45
0.6142857142857142,0.4496031746031746,0.39702380952380956
0.562857142857143,0.3938492063492064,0.4199404761904762
